assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,clearances_blocks_interceptions,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,defensive_contribution_per_90,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,known_name,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,price_change_calibrating,price_change_hourly_rate,price_change_locked_until,price_change_percent,price_change_projections,recoveries,red_cards,region,removed,saves,saves_per_90,scout_news_link,scout_risks,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,tackles,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1995-09-15,3,98,True,True,,,3,0.75,6,154561,,,0,0,0,0,0.2,374,4,0,0.0,,,1,1,5.8,5.8,0,0.01,0.0,0.01,0.0,0.00,2.72,0.68,0.0,David,5.8,9,1,1,0.25,0,False,8.5,198,13,1,True,84.0,73,12,,360,,,60,64,1,p154561,0,0,,1,,154561.jpg,7.2,11,1,False,345,,96.7,"[{'offset': 0, 'projected_percent': '98.8', 'likelihood': 4}, {'offset': 1, 'projected_percent': '103.5', 'likelihood': 5}, {'offset': 2, 'projected_percent': '108.2', 'likelihood': 5}]",44,0,200,False,7,1.75,,[],Raya Martín,41.6,4,1,False,,4,1.0,a,0,1,3,2024-07-04,0.0,648,72,29,859997,19598,594411,2007,1.0,4.8,Raya,0
0,1994-10-03,0,0,True,True,,,0,0,0,109745,,,0,0,-1,1,0.0,537,55,0,0,,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Kepa,0.0,554,67,0,0,0,False,0.0,542,67,2,False,0.0,537,67,,0,,,49,348,16,p109745,0,0,,0,,109745.jpg,0.0,554,67,False,1,,-35.3,"[{'offset': 0, 'projected_percent': '-34.3', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-31.9', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-29.5', 'likelihood': -2}]",0,0,200,False,0,0,,[],Arrizabalaga Revuelta,0.1,465,53,False,,0,0,a,0,1,3,2025-07-01,0.0,496,53,0,1392,15,4033,20,0.0,0.0,Arrizabalaga,0
0,2000-03-02,0,0,True,True,,,0,0,0,437495,,,0,0,-1,1,0.0,549,57,0,0,,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Illan,0.0,563,68,0,0,0,False,0.0,555,68,3,False,0.0,550,68,,0,,,49,375,18,p437495,0,0,,0,,437495.jpg,0.0,563,68,False,0,,-24.4,"[{'offset': 0, 'projected_percent': '-24.4', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-24.4', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-24.4', 'likelihood': -2}]",0,0,73,False,0,0,,[],Meslier,0.0,541,61,False,,0,0,a,0,1,3,2026-07-09,0.0,512,55,0,471,4,1473,13,0.0,0.0,Meslier,0
0,1997-12-19,2,84,True,True,,,3,0.75,29,226597,,,0,0,0,0,8.9,252,87,32,8.0,,,0,2,4.8,4.8,0,0.06,0.02,0.57,0.15,0.51,2.72,0.68,0.13,Gabriel,4.8,32,12,1,0.25,0,False,16.1,89,24,4,False,69.0,101,45,Gabriel Magalhães,360,,,80,8,1,p226597,0,0,,0,,226597.jpg,6.0,37,16,False,-17,,-76.5,"[{'offset': 0, 'projected_percent': '-76.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-76.7', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-76.8', 'likelihood': -3}]",13,0,30,False,0,0.0,,[],dos Santos Magalhães,23.1,13,4,False,,4,1.0,a,3,1,3,2020-09-01,84.0,33,3,24,212266,2023,850362,7471,0.6,3.0,Gabriel,2
0,2001-06-17,0,3,True,True,100,100,0,0.0,2,445122,,,0,0,0,0,1.9,316,115,3,6.0,,,0,2,0.2,0.2,0,0.01,0.02,0.01,0.02,0.00,1.57,3.14,0.0,Jurriën,0.2,406,143,0,0.0,0,False,0.8,362,131,5,False,6.0,329,127,Jurriën Timber,45,,2026-07-23T12:01:23.272929Z,65,39,3,p445122,0,0,,0,,445122.jpg,1.0,388,133,False,36,,7.3,"[{'offset': 0, 'projected_percent': '7.5', 'likelihood': 1}, {'offset': 1, 'projected_percent': '8.0', 'likelihood': 1}, {'offset': 2, 'projected_percent': '8.5', 'likelihood': 1}]",5,0,152,False,0,0.0,,[],Timber,0.3,294,106,False,,0,0.0,a,1,1,3,2023-07-14,0.0,657,216,1,22795,1139,10976,223,0.0,0.2,J.Timber,0
0,2001-03-24,0,0,True,True,0,0,0,0,0,462424,,,0,0,-1,1,0.0,649,216,0,0,,,0,2,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,William,0.0,648,216,0,0,0,False,0.0,648,216,6,False,0.0,646,216,,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,59,88,8,p462424,0,0,,0,,462424.jpg,0.0,648,216,False,-4,,-17.6,"[{'offset': 0, 'projected_percent': '-18.0', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-19.0', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-20.0', 'likelihood': -2}]",0,0,73,False,0,0,https://www.arsenal.com/news/arteta-issues-update-on-bruno-timber-and-saliba-aKfIr6V2lm7B?utm_source=premier-league-web&utm_medium=referral&utm_campaign=pl-referral-always-on&utm_content=home&utm_term=live-bar,[],Saliba,0.2,328,121,False,,0,0,i,0,1,3,2019-07-25,0.0,643,215,0,3114,32,17687,134,0.0,0.0,Saliba,0
0,2006-09-26,0,37,True,True,,,2,0.66,5,499169,,,0,0,0,0,40.2,129,81,14,4.65,,,0,3,1.8,1.8,0,0.23,0.08,0.39,0.13,0.16,1.02,0.34,0.05,Myles,1.8,172,78,1,0.33,0,False,7.0,221,101,7,False,21.6,252,105,,271,,,55,157,98,p499169,0,0,,0,,499169.jpg,2.2,197,86,False,-15,,-99.3,"[{'offset': 0, 'projected_percent': '-100.9', 'likelihood': -5}, {'offset': 1, 'projected_percent': '-104.4', 'likelihood': -5}, {'offset': 2, 'projected_percent': '-107.9', 'likelihood': -5}]",8,0,241,False,0,0.0,,[],Lewis-Skelly,0.6,234,76,False,,4,1.33,a,1,1,3,2022-12-04,16.0,175,90,9,28806,129,45233,429,0.3,1.6,Lewis-Skelly,0
2,2002-05-19,2,79,True,True,,,3,0.83,10,466075,,,0,0,3,-3,29.0,160,48,13,3.59,,,1,2,5.6,5.6,0,0.59,0.16,1.19,0.33,0.60,2.45,0.68,0.17,Riccardo,5.6,17,5,1,0.28,0,False,13.6,121,43,8,False,60.4,121,58,,326,,,58,106,11,p466075,0,0,,0,,466075.jpg,7.0,18,7,False,227,,86.9,"[{'offset': 0, 'projected_percent': '88.3', 'likelihood': 3}, {'offset': 1, 'projected_percent': '91.4', 'likelihood': 3}, {'offset': 2, 'projected_percent': '94.5', 'likelihood': 3}]",8,0,106,False,0,0.0,,[],Calafiori,50.7,3,1,False,,4,1.1,a,3,1,3,2024-07-29,46.0,86,18,28,1588668,8660,341369,2862,1.0,4.8,Calafiori,0
0,2002-01-09,0,6,True,True,,,0,0.0,2,448104,,,0,0,-2,2,1.0,336,124,3,8.44,,,0,2,0.4,0.4,0,0.00,0.0,0.00,0.0,0.00,0.28,0.79,0.0,Piero,0.4,349,125,0,0.0,0,False,1.0,348,127,9,False,6.4,327,126,,32,,,53,227,31,p448104,0,0,,0,,448104.jpg,1.0,351,131,False,-23,,-89.2,"[{'offset': 0, 'projected_percent': '-90.8', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-94.4', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-98.0', 'likelihood': -4}]",0,0,62,False,0,0.0,,[],Hincapié,0.9,192,71,False,,0,0.0,a,1,1,3,2026-07-01,2.0,308,117,2,14952,133,112194,483,0.1,0.4,Hincapie,0
1,1997-10-08,3,78,True,True,100,100,2,0.57,12,198869,,,0,0,0,0,53.0,83,20,18,5.14,,,0,2,4.2,4.2,0,0.29,0.08,0.47,0.13,0.18,1.15,0.33,0.05,Benjamin,4.2,46,21,1,0.29,0,False,15.2,97,30,10,False,69.6,98,44,,315,,2026-09-15T19:30:09.494382Z,55,131,15,p198869,0,0,,0,,198869.jpg,5.2,48,21,False,-26,,-26.1,"[{'offset': 0, 'projected_percent': '-26.4', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-27.1', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-27.8', 'likelihood': -2}]",9,0,241,False,0,0.0,,[],White,5.5,71,29,False,,4,1.14,a,6,1,3,2021-07-30,29.0,125,35,21,453694,936,504776,5995,0.8,3.8,White,0
0,2004-06-27,0,52,True,True,100,100,2,1.07,10,500040,,,0,0,-2,2,2.0,313,113,10,5.36,,,0,2,2.4,2.4,0,0.01,0.01,0.01,0.01,0.00,0.53,0.28,0.0,Cristhian,2.4,124,47,0,0.0,0,False,2.7,304,113,11,False,24.6,241,99,,168,,2026-09-04T14:00:08.080310Z,53,232,33,p500040,0,0,,0,,500040.jpg,6.0,33,15,False,-13,,-6.8,"[{'offset': 0, 'projected_percent': '-7.2', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-8.3', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-9.3', 'likelihood': -1}]",3,0,200,False,0,0.0,,[],Mosquera,1.7,139,56,False,,2,1.07,a,0,1,3,2025-07-24,0.0,602,211,12,30297,132,459671,942,0.5,2.3,Mosquera,0
0,2001-09-05,4,123,True,True,,,3,0.8,8,223340,2,,0,0,0,0,78.8,43,36,29,7.77,2,,0,3,6.0,6.0,0,0.43,0.12,3.31,0.89,2.88,2.58,0.69,0.77,Bukayo,6.0,8,3,1,0.27,3,False,42.2,2,2,12,True,139.8,8,6,,336,,,95,4,3,p223340,0,0,1,0,,223340.jpg,7.5,10,4,False,290,,77.0,"[{'offset': 0, 'projected_percent': '78.7', 'likelihood': 3}, {'offset': 1, 'projected_percent': '82.7', 'likelihood': 3}, {'offset': 2, 'projected_percent': '86.6', 'likelihood': 3}]",16,0,241,False,0,0.0,,[],Saka,13.2,32,12,False,,4,1.07,a,5,1,3,2018-11-28,204.0,1,1,30,693107,13485,352051,2200,0.6,3.2,Saka,0
2,1999-01-14,0,78,True,True,,,3,0.84,16,204480,1,,0,0,-1,1,90.3,33,29,34,9.53,1,,0,3,3.8,3.8,0,0.63,0.18,0.73,0.21,0.10,2.19,0.61,0.03,Declan,3.8,56,23,1,0.28,0,False,20.4,48,35,13,False,109.6,29,13,,321,,,74,18,11,p204480,0,0,,0,,204480.jpg,4.8,60,26,False,-45,,-25.1,"[{'offset': 0, 'projected_percent': '-25.3', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-25.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-26.3', 'likelihood': -2}]",13,0,241,False,0,0.0,,[],Rice,12.4,34,14,False,,4,1.12,a,5,1,3,2023-07-15,4.0,293,143,19,113192,1346,645335,2661,0.5,2.6,Rice,0
0,1998-06-29,0,13,True,True,,,0,0.0,0,232413,,,0,0,-2,2,3.8,289,149,5,6.62,3,,0,3,0.6,0.6,0,0.07,0.09,0.11,0.14,0.04,0.79,1.05,0.05,Eberechi,0.6,319,149,0,0.0,0,False,0.9,357,165,14,False,1.8,369,170,,68,,,63,49,33,p232413,0,0,,0,,232413.jpg,1.0,385,183,False,-18,,-76.9,"[{'offset': 0, 'projected_percent': '-78.0', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-80.4', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-82.8', 'likelihood': -3}]",5,0,241,False,0,0.0,,[],Eze,1.0,173,56,False,,0,0.0,a,0,1,3,2025-08-23,5.0,275,139,3,21153,234,133410,566,0.1,0.5,Eze,0
0,1998-12-17,6,127,True,True,,,3,0.89,4,184029,,,0,0,3,-3,160.7,4,4,21,6.2,4,,1,3,5.4,5.4,0,1.30,0.38,2.31,0.68,1.01,2.46,0.73,0.3,Martin,5.4,21,12,1,0.3,2,False,35.1,10,8,15,False,121.8,16,11,,305,,,68,31,20,p184029,0,0,3,0,,184029.jpg,6.8,21,10,False,217,,7.3,"[{'offset': 0, 'projected_percent': '8.7', 'likelihood': 1}, {'offset': 1, 'projected_percent': '11.6', 'likelihood': 1}, {'offset': 2, 'projected_percent': '14.6', 'likelihood': 1}]",11,0,161,False,0,0.0,,[],Ødegaard,20.1,18,8,False,,4,1.18,a,6,1,3,2021-08-20,68.0,52,33,27,1566014,10294,463697,4248,0.8,4.0,Ødegaard,0
0,2002-03-10,0,11,True,True,,,0,0.0,0,248857,5,,0,0,-3,3,43.9,113,73,3,11.74,,,0,3,0.4,0.4,0,0.05,0.2,0.05,0.2,0.00,0.15,0.59,0.0,Noni,0.4,358,169,0,0.0,0,False,5.6,246,111,16,False,11.6,287,121,,23,,,62,57,40,p248857,0,0,,0,,248857.jpg,1.0,383,181,False,-4,,-4.3,"[{'offset': 0, 'projected_percent': '-5.5', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-8.3', 'likelihood': -1}, {'offset': 2, 'projected_percent': '-11.0', 'likelihood': -1}]",2,0,241,False,0,0.0,,[],Madueke,0.2,325,116,False,,0,0.0,a,1,1,3,2025-07-18,0.0,653,291,2,5402,122,24560,140,0.1,0.3,Madueke,0
0,1996-06-22,0,15,True,True,,,0,0.0,0,195384,,,0,0,-2,2,3.4,292,151,6,10.59,,,0,3,0.6,0.6,0,0.02,0.04,0.16,0.29,0.14,0.26,0.46,0.25,Mikel,0.6,316,147,0,0.0,0,False,2.4,313,143,17,False,6.6,324,147,,51,,,58,100,64,p195384,0,0,,0,,195384.jpg,0.8,396,187,False,-9,,-64.2,"[{'offset': 0, 'projected_percent': '-65.6', 'likelihood': -3}, {'offset': 1, 'projected_percent': '-69.0', 'likelihood': -3}, {'offset': 2, 'projected_percent': '-72.3', 'likelihood': -3}]",6,0,200,False,0,0.0,,[],Merino Zazón,0.4,270,91,False,,0,0.0,a,0,1,3,2024-08-27,14.0,198,101,3,8832,95,45540,250,0.1,0.5,Merino,1
0,2001-06-18,0,0,False,True,0,0,0,0,0,444145,,,0,0,-2,2,0.0,656,292,0,0,,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Gabriel,0.0,655,291,0,0,0,False,0.0,655,292,18,False,0.0,655,292,Gabriel Martinelli,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,63,50,34,p444145,0,0,,0,,444145.jpg,0.0,655,291,False,-7,,0.0,"[{'offset': 0, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 1, 'projected_percent': '0.0', 'likelihood': 0}, {'offset': 2, 'projected_percent': '0.0', 'likelihood': 0}]",0,0,30,False,0,0,,[],Martinelli Silva,0.1,455,177,False,,0,0,u,0,1,3,2019-07-15,0.0,654,292,0,2483,0,21387,86,0.0,0.0,Martinelli,0
0,1999-02-02,0,14,True,True,,,0,0.0,4,481655,,,0,0,-2,2,4.2,282,147,11,16.78,,,0,3,0.8,0.8,0,0.04,0.06,0.12,0.18,0.08,0.68,1.04,0.12,Martín,0.8,272,124,0,0.0,0,False,2.9,297,134,19,False,13.4,277,116,,59,,,53,230,144,p481655,0,0,,0,,481655.jpg,1.0,353,160,False,-20,,-17.9,"[{'offset': 0, 'projected_percent': '-20.0', 'likelihood': -2}, {'offset': 1, 'projected_percent': '-24.6', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-29.3', 'likelihood': -2}]",3,0,200,False,0,0.0,,[],Zubimendi Ibáñez,0.6,233,75,False,,0,0.0,a,4,1,3,2025-07-06,11.0,216,109,4,8072,57,63315,372,0.2,0.8,Zubimendi,0
0,2009-12-31,0,0,True,True,,,0,0,0,616077,,,0,0,-2,2,0.0,620,268,0,0,,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Max,0.0,623,267,0,0,0,False,0.0,621,267,20,False,0.0,616,265,,0,,,53,236,149,p616077,0,0,,0,,616077.jpg,0.0,623,267,False,-2,,-17.7,"[{'offset': 0, 'projected_percent': '-19.3', 'likelihood': -1}, {'offset': 1, 'projected_percent': '-22.8', 'likelihood': -2}, {'offset': 2, 'projected_percent': '-26.4', 'likelihood': -2}]",0,0,241,False,0,0,,[],Dowman,0.1,469,184,False,,0,0,a,0,1,3,2025-07-22,0.0,604,258,0,2635,47,6777,58,0.0,0.0,Dowman,0
