code,draw,form,id,link_url,loss,name,played,points,position,pulse_id,short_name,strength,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,strength_overall_away,strength_overall_home,team_division,unavailable,win
3,0,,1,,0,Arsenal,0,0,1,1,ARS,5,1390,1340,1350,1270,1370,1305,,False,0
7,0,,2,,0,Aston Villa,0,0,4,2,AVL,3,1190,1140,1270,1170,1230,1155,,False,0
90,0,,3,,0,Burnley,0,0,19,43,BUR,2,1050,910,1040,1040,1045,975,,False,0
91,0,,4,,0,Bournemouth,0,0,6,127,BOU,3,1160,1060,1240,1230,1200,1145,,False,0
94,0,,5,,0,Brentford,0,0,9,130,BRE,3,1170,1110,1260,1140,1215,1125,,False,0
36,0,,6,,0,Brighton,0,0,8,131,BHA,3,1200,1130,1260,1200,1230,1165,,False,0
8,0,,7,,0,Chelsea,0,0,10,4,CHE,4,1170,1130,1280,1240,1225,1185,,False,0
31,0,,8,,0,Crystal Palace,0,0,15,6,CRY,3,1150,1130,1170,1150,1160,1140,,False,0
11,0,,9,,0,Everton,0,0,13,7,EVE,3,1140,1140,1150,1140,1145,1140,,False,0
54,0,,10,,0,Fulham,0,0,11,34,FUL,3,1170,1080,1210,1110,1190,1095,,False,0
2,0,,11,,0,Leeds,0,0,14,9,LEE,3,1160,1090,1230,1100,1195,1095,,False,0
14,0,,12,,0,Liverpool,0,0,5,10,LIV,4,1200,1170,1350,1300,1275,1235,,False,0
43,0,,13,,0,Man City,0,0,2,11,MCI,4,1310,1190,1390,1330,1350,1260,,False,0
1,0,,14,,0,Man Utd,0,0,3,12,MUN,4,1170,1170,1330,1290,1250,1230,,False,0
4,0,,15,,0,Newcastle,0,0,12,23,NEW,3,1120,1120,1290,1110,1205,1115,,False,0
17,0,,16,,0,Nott'm Forest,0,0,16,15,NFO,3,1160,1110,1160,1150,1160,1130,,False,0
56,0,,17,,0,Sunderland,0,0,7,29,SUN,3,1190,1090,1120,1090,1155,1090,,False,0
6,0,,18,,0,Spurs,0,0,17,21,TOT,3,1120,1120,1190,1150,1145,1145,,False,0
21,0,,19,,0,West Ham,0,0,18,25,WHU,3,1080,1060,1180,1130,1130,1095,,False,0
39,0,,20,,0,Wolves,0,0,20,38,WOL,2,1050,950,1070,1000,1060,975,,False,0
